,State,LGA,lat,lon
459,Ogun,Yewa North,7.142479,3.346295
460,Ogun,Yewa North,7.142399,3.346473
461,Oyo,Ibadan North-East,7.395125,3.938525
462,Oyo,Iseyin,7.969364,3.597256
463,Oyo,Ibadan North-East,7.401322,3.94465
464,Oyo,Ibadan North-East,7.402213,3.943418
465,Oyo,Ibadan North-East,7.403892,3.944422
466,Oyo,Ogo Oluwa,7.931417,4.12687
467,Oyo,Oluyole,7.318966,3.849281
468,Oyo,Orelope,8.826259,3.746443
469,Oyo,Oluyole,7.319027,3.849316
470,Oyo,Olorunsogo,8.759505,4.154482
471,Oyo,Olorunsogo,8.759512,4.154457
472,Oyo,Olorunsogo,8.759577,4.154419
473,Oyo,Ibadan North-East,7.407903,3.943866
474,Oyo,Iseyin,7.969503,3.598046
475,Lagos,Ikeja,6.598491,3.336456
476,Oyo,Oluyole,7.318278,3.849224
477,Ekiti,Ijero,7.813226,5.067222
478,Ogun,Yewa North,7.142597,3.346228
479,Oyo,Ogo Oluwa,7.928327,4.132008
480,Oyo,Orelope,8.691802,4.143668
481,Ogun,Yewa North,7.142375,3.346378
482,Ondo,Ile-Oluji/Okeigbo,7.206036,4.868156
483,Ondo,Ile-Oluji/Okeigbo,7.205968,4.86793
484,Ondo,Ile-Oluji/Okeigbo,7.206036,4.868197
485,Ondo,Ile-Oluji/Okeigbo,7.206115,4.86804
486,Oyo,Ogo Oluwa,7.928376,4.133607
487,Ekiti,Ijero,7.813558,5.066978
488,Ekiti,Ijero,7.813791,5.0668
489,Ekiti,Ijero,7.814214,5.066316
490,Ekiti,Ijero,7.814389,5.066055
491,Ekiti,Ijero,7.816275,5.070131
492,Oyo,Orelope,8.834441,3.740608
493,Ogun,Yewa North,7.14234,3.346081
494,Lagos,Agege,6.623657,3.320872
495,Oyo,Orelope,8.857652,3.76133
496,Oyo,Ogo Oluwa,7.928278,4.13479
497,Oyo,Orelope,8.85763,3.761301
498,Oyo,Saki East,8.633583,3.606531
499,Oyo,Saki East,8.633565,3.606525
500,Oyo,Ibarapa Central,7.435116,3.284881
501,Oyo,Saki East,8.626951,3.615502
502,Oyo,Saki East,8.626722,3.614528
503,Oyo,Saki East,8.622708,3.614568
504,Lagos,Ikeja,6.634937,3.340506
505,Lagos,Ikeja,6.637074,3.341569
506,Lagos,Ikeja,6.641261,3.344293
507,Lagos,Ikeja,6.640643,3.344455
508,Ogun,Yewa North,7.142393,3.346485
509,Ogun,Yewa North,7.14252,3.346458
510,Lagos,Agege,6.624552,3.319534
511,Ogun,Yewa North,7.14252,3.346458
512,Lagos,Agege,6.624552,3.319534
513,Lagos,Alimosho,6.676137,3.272173
514,Lagos,Alimosho,6.676287,3.271885
515,Lagos,Alimosho,6.63293,3.339532
516,Lagos,Ikeja,6.633293,3.339175
517,Lagos,Ikeja,6.63366,3.338756
518,Lagos,Ikeja,6.62985,3.342559
519,Lagos,Ikeja,6.629726,3.342677
520,Oyo,Orire,8.243491,4.171483
521,Oyo,Orire,8.22852,4.167808
522,Oyo,Orire,8.225518,4.165954
523,Oyo,Orire,8.233409,4.171283
524,Lagos,Agege,6.626691,3.31787
525,Oyo,Orire,8.22832,4.169087
526,Lagos,Agege,6.623627,3.300351
527,Oyo,Orire,8.220424,4.169716
528,Lagos,Agege,6.627387,3.320404
529,Cross River,Calabar South,4.93448,8.310044
530,Akwa-Ibom,Itu,5.052989,7.921706
531,Akwa-Ibom,Itu,5.054352,7.916756
532,Delta,Ughelli North,5.517556,5.969875
533,Edo,Ikpoba Okha,6.306289,5.671926
534,Bayelsa,Sagbama,5.157794,6.198255
535,Edo,Uhunmwonde,6.378732,5.736653
536,Edo,Ikpoba Okha,6.307863,5.670931
537,Edo,Ikpoba Okha,6.308925,5.672913
538,Bayelsa,Sagbama,5.157794,6.198255
539,Delta,Ughelli North,5.520054,5.98111
540,Edo,Ikpoba Okha,6.308278,5.671598
541,Edo,Ikpoba Okha,6.307864,5.670932
542,Edo,Uhunmwonde,6.37862,5.736419
543,Rivers,Eleme,4.792622,7.111324
544,Delta,Ughelli North,5.520054,5.98111
545,Bayelsa,Sagbama,5.157794,6.198255
546,Rivers,Ogba-Egbema-Ndoni,5.299095,6.618936
547,Edo,Ovia North-East,6.408343,5.618854
548,Bayelsa,Sagbama,5.157794,6.198255
549,Bayelsa,Ogbia,4.837712,6.273635
550,Edo,Uhunmwonde,6.37837,5.735831
551,Edo,Ikpoba Okha,6.304027,5.666995
552,Bayelsa,Ekeremor,5.052642,5.773589
553,Edo,Ikpoba Okha,6.303302,5.672913
554,Rivers,Ogba-Egbema-Ndoni,5.299336,6.619187
555,Delta,Ughelli North,5.503448,5.981778
556,Rivers,Emohua,4.91949,6.790421
557,Rivers,Emohua,4.919795,6.790321
558,Edo,Ikpoba Okha,6.303668,5.669666
559,Rivers,Ahoada West,5.087958,6.469688
560,Bayelsa,Sagbama,5.157794,6.198255
561,Bayelsa,Ekeremor,5.054791,5.773693
562,Rivers,Ogba-Egbema-Ndoni,5.299595,6.619534
563,Rivers,Emohua,4.92031,6.790445
564,Rivers,Emohua,4.920321,6.790827
565,Bayelsa,Ekeremor,5.054791,5.773693
566,Delta,Uvwie,5.56801,5.811519
567,Bayelsa,Sagbama,5.157794,6.198255
568,Bayelsa,Sagbama,5.157794,6.198255
569,Bayelsa,Sagbama,5.157794,6.198255
570,Akwa-Ibom,Itu,5.054409,7.918479
571,Edo,Ovia North-East,6.407913,5.618357
572,Rivers,Ogba-Egbema-Ndoni,5.299944,6.620322
573,Delta,Uvwie,5.567152,5.810715
574,Edo,Uhunmwonde,6.378224,5.735548
575,Bayelsa,Ekeremor,5.054791,5.773693
576,Edo,Ovia North-East,6.408467,5.618993
577,Edo,Ovia North-East,6.407913,5.618357
578,Bayelsa,Ekeremor,5.054791,5.773693
579,Rivers,Ahoada West,5.087949,6.469712
580,Bayelsa,Ekeremor,5.054791,5.773693
581,Rivers,Abua-Odual,4.813793,6.653484
582,Delta,Isoko North,5.450352,6.102181
583,Rivers,Ogba-Egbema-Ndoni,5.300275,6.620792
584,Edo,Ovia North-East,6.488932,5.580958
585,Delta,Uvwie,5.566946,5.810549
586,Delta,Isoko North,5.452341,6.09887
587,Rivers,Emohua,4.919353,6.78983
588,Rivers,Emohua,4.918945,6.790651
589,Bayelsa,Ekeremor,5.054791,5.773693
590,Delta,Uvwie,5.566413,5.810322
591,Edo,Ovia North-East,6.489178,5.582093
592,Delta,Isoko North,5.450352,6.102181
593,Akwa-Ibom,Itu,5.053232,7.922339
594,Rivers,Ogba-Egbema-Ndoni,5.300533,6.621081
595,Cross River,Calabar South,4.936825,8.321017
596,Delta,Isoko North,5.450352,6.102181
597,Delta,Isoko North,5.450352,6.102181
598,Delta,Isoko North,5.452341,6.09887
599,Rivers,Obio-Akpor,5.082526,6.6572
600,Rivers,Ahoada West,5.087544,6.470924
601,Bayelsa,Ekeremor,5.053386,5.770857
602,Rivers,Abua-Odual,4.802486,6.662098
603,Rivers,Ahoada East,5.082498,6.657501
604,Rivers,Omuma,5.751418,6.955129
605,Rivers,Ahoada West,5.088313,6.471004
606,Bayelsa,Ekeremor,5.053516,5.776639
607,Rivers,Omuma,5.749531,6.954159
608,Rivers,Ahoada West,5.089406,6.47213
609,Rivers,Abua-Odual,4.799199,6.657275
610,Rivers,Ahoada East,5.082866,6.657118
611,Rivers,Ahoada East,5.083226,6.657297
612,Rivers,Ahoada East,5.083392,6.657417
613,Rivers,Abua-Odual,4.798113,6.662747
614,Rivers,Abua-Odual,4.795667,6.663593
615,Rivers,Omuma,5.747573,6.952376
616,Rivers,Omuma,5.755441,6.954278
617,Rivers,Omuma,5.756158,6.937755
618,Rivers,Omuma,5.759979,6.947377
619,Rivers,Abua-Odual,4.792903,6.667375
620,Cross River,Calabar Municipal,5.034669,8.353584
621,Cross River,Calabar Municipal,5.034757,8.343926
622,Cross River,Calabar Municipal,5.081313,8.356594
623,Cross River,Calabar Municipal,5.079356,8.355679
624,Cross River,Calabar Municipal,5.079109,8.355427
625,Cross River,Calabar Municipal,5.081635,8.356594
626,Cross River,Calabar Municipal,5.081313,8.356594
627,Cross River,Calabar Municipal,5.080069,8.35599
628,Akwa-Ibom,Uyo,5.024474,7.95537
629,Akwa-Ibom,Uyo,5.024572,7.955475
630,Akwa-Ibom,Uyo,5.041299,7.976486
631,Akwa-Ibom,Uyo,5.026513,7.977498
632,Akwa-Ibom,Uyo,5.028726,7.955137
633,Akwa-Ibom,Uyo,5.024631,7.956378
634,Akwa-Ibom,Itu,5.027583,7.948193
635,Akwa-Ibom,Uyo,5.027441,7.949921
636,Akwa-Ibom,Uyo,5.032599,7.931444
637,Akwa-Ibom,Itu,5.036687,7.878793
638,Akwa-Ibom,Itu,5.042898,7.877621
639,Akwa-Ibom,Uyo,5.032212,7.926302
640,Akwa-Ibom,Uyo,5.029995,7.926102
641,Akwa-Ibom,Uyo,5.023519,7.939652
642,Akwa-Ibom,Uyo,5.003412,7.94577
643,Akwa-Ibom,Uyo,5.004772,7.944436
644,Akwa-Ibom,Uyo,4.989165,7.971036
645,Akwa-Ibom,Uyo,4.989165,7.971036
646,Akwa-Ibom,Uyo,4.989137,7.97342
647,Akwa-Ibom,Uyo,4.989165,7.971036
648,Akwa-Ibom,Uyo,4.989165,7.971036
649,Akwa-Ibom,Ibesikpo Asutan,4.980809,7.902948
650,Akwa-Ibom,Ibesikpo Asutan,4.980807,7.903041
651,Akwa-Ibom,Ibesikpo Asutan,4.979661,7.903952
652,Akwa-Ibom,Ibesikpo Asutan,4.980199,7.903322
653,Akwa-Ibom,Ibesikpo Asutan,4.980102,7.904136
654,Oyo,Orire,8.246224,4.169238
655,Oyo,Orire,8.244107,4.169061
656,Oyo,Orire,8.242471,4.169238
657,Ogun,Ifo,6.814944,3.19305
658,Lagos,Alimosho,6.597527,3.342168
659,Lagos,Alimosho,6.597527,3.342168
660,Lagos,Alimosho,6.597527,3.342168
661,Lagos,Ikeja,6.597527,3.342168
662,Ogun,Ifo,6.814635,3.192173
663,Ogun,Ifo,6.814469,3.191203
664,Ogun,Ifo,6.814698,3.190122
665,Ogun,Ifo,6.815026,3.190178
666,Ogun,Ifo,6.815307,3.190262
667,Ogun,Ifo,6.815513,3.19082
668,Oyo,Ibadan South-West,7.348744,3.878443
669,Ogun,Ifo,6.813423,3.193067
670,Oyo,Ibadan South-West,7.349432,3.877483
671,Oyo,Ibadan South-West,7.349627,3.877009
672,Ogun,Ifo,6.813198,3.193139
673,Oyo,Ibadan South-West,7.350542,3.87719
674,Ogun,Ifo,6.813332,3.194069
675,Oyo,Ibadan South-West,7.349568,3.875582
676,Oyo,Ibadan South-West,7.348663,3.874163
677,Ekiti,Ikole,7.797475,5.521737
678,Ogun,Ifo,6.814522,3.196271
679,Oyo,Ibadan South-West,7.348668,3.873969
680,Ogun,Ifo,6.821878,3.193987
681,Oyo,Ibadan South-West,7.373403,3.881617
682,Oyo,Ibadan South-West,7.374962,3.881269
683,Oyo,Ibadan South-West,7.375645,3.881317
684,Ekiti,Ikole,7.797562,5.522081
685,Ekiti,Ido Osi,7.841801,5.179945
686,Ekiti,Ikole,7.797606,5.522447
687,Ekiti,Ido Osi,7.841887,5.179455
688,Ekiti,Ido Osi,7.841847,5.179088
689,Ekiti,Ikole,7.797727,5.522876
690,Oyo,Saki East,8.64997,3.566754
691,Oyo,Saki East,8.648306,3.567414
692,Ekiti,Ido Osi,7.841847,5.179088
693,Ekiti,Ikole,7.637939,5.207911
694,Oyo,Saki East,8.652895,3.564423
695,Oyo,Saki West,8.671811,3.395225
696,Ekiti,Ido Osi,7.841847,5.179088
697,Ekiti,Ikole,7.615743,5.222713
698,Oyo,Saki East,8.622464,3.618036
699,Ekiti,Ido Osi,7.844559,5.178885
700,Ekiti,Ikole,7.798771,5.523311
701,Ekiti,Ikole,7.812175,5.563102
702,Ondo,Akoko South-East,7.455678,5.815289
703,Ondo,Akoko South-East,7.455417,5.814823
704,Ondo,Akoko South-East,7.455703,5.814806
705,Ondo,Akoko South-East,7.45546,5.814332
706,Ondo,Akoko South-East,7.455621,5.813724
707,Oyo,Ibarapa Central,7.369627,3.225828
708,Oyo,Ibarapa Central,7.370938,3.236904
709,Oyo,Ibarapa Central,7.370914,3.23695
710,Oyo,Ibarapa Central,7.382008,3.258051
711,Oyo,Ibarapa Central,7.384761,3.242245
712,Oyo,Ibarapa Central,7.31902,3.264526
713,Oyo,Ibarapa Central,7.300152,3.263905
714,Oyo,Ibarapa Central,7.300187,3.263901
715,Ondo,Akoko North-West,7.560185,5.781726
716,Ondo,Akoko North-West,7.559132,5.783813
717,Ondo,Akoko North-West,7.559132,5.783813
718,Ondo,Akoko North-West,7.558973,5.780167
719,Oyo,Atisbo,8.567118,3.44454
720,Ekiti,Ikole,7.811961,5.563377
721,Oyo,Atisbo,8.567067,3.446192
722,Ekiti,Ikole,7.811792,5.563574
723,Ekiti,Ikole,7.812225,5.563313
724,Oyo,Atisbo,8.569235,3.444188
725,Oyo,Saki West,8.671279,3.394884
726,Oyo,Atisbo,8.566538,3.449995
727,Ekiti,Oye,7.799507,5.32951
728,Ekiti,Oye,7.79961,5.329231
729,Ekiti,Oye,7.79976,5.32894
730,Ekiti,Oye,7.799961,5.328499
731,Ekiti,Oye,7.800277,5.328014
732,Ekiti,Oye,7.800461,5.327739
733,Oyo,Saki West,8.670414,3.394573
734,Oyo,Atisbo,8.561272,3.446054
735,Oyo,Saki West,8.6706,3.394096
736,Ondo,Akoko North-East,7.525777,5.752631
737,Ondo,Akoko North-East,7.526135,5.755492
738,Ondo,Akoko North-East,7.525491,5.753187
739,Ondo,Akoko North-East,7.526148,5.754504
740,Ondo,Akoko North-East,7.524761,5.757467
741,Oyo,Saki West,8.670773,3.393758
742,Ondo,Akoko North-West,7.587218,5.812187
743,Ondo,Akoko North-West,7.585995,5.813043
744,Ondo,Akoko South-West,7.462871,5.73403
745,Ondo,Akoko South-West,7.463162,5.734119
746,Ondo,Akoko South-West,7.46276,5.734215
747,Ondo,Akoko South-West,7.462203,5.734603
748,Ondo,Akoko South-West,7.462405,5.734963
749,Rivers,Okirika,4.750177,7.101057
750,Rivers,Okirika,4.750462,7.101629
751,Rivers,Ikwerre,4.958845,7.025014
752,Edo,Uhunmwonde,6.376771,5.737129
753,Edo,Uhunmwonde,6.375563,5.735897
754,Rivers,Okirika,4.750959,7.101703
755,Rivers,Okirika,4.751065,7.102225
756,Rivers,Okirika,4.750095,7.101804
757,Rivers,Okirika,4.750496,7.100355
758,Rivers,Ogba-Egbema-Ndoni,5.332299,6.634103
759,Edo,Uhunmwonde,6.374956,5.735402
760,Rivers,Ogba-Egbema-Ndoni,5.331671,6.633894
761,Edo,Oredo,6.328697,5.627543
762,Edo,Oredo,6.328368,5.627119
763,Rivers,Ogba-Egbema-Ndoni,5.330889,6.63333
764,Rivers,Ikwerre,4.955946,7.016474
765,Edo,Uhunmwonde,6.374863,5.734826
766,Edo,Oredo,6.32894,5.62723
767,Edo,Oredo,6.328242,5.627246
768,Edo,Oredo,6.327959,5.626245
769,Rivers,Ogba-Egbema-Ndoni,5.330889,6.63333
770,Edo,Uhunmwonde,6.374139,5.733982
771,Edo,Oredo,6.328941,5.627231
